gene_id	gene_name	gene_biotype	ICN	ICAA	IKD16N	IKD16A
ENSG00000004142.12	POLDIP2	protein_coding	119.3229037	139.292644	74.03971549	83.88702521
ENSG00000004399.13	PLXND1	protein_coding	20.7967707	35.60315255	22.58106735	12.46598557
ENSG00000004455.17	AK2	protein_coding	19.43514623	13.42813419	6.846269796	11.63523934
ENSG00000004468.13	CD38	protein_coding	30.26444932	16.54072865	8.889192908	8.687284826
ENSG00000004478.8	FKBP4	protein_coding	33.40092262	31.1636301	22.33524247	17.07567187
ENSG00000004487.17	KDM1A	protein_coding	12.35769616	20.84922359	17.26118918	12.2641466
ENSG00000004534.15	RBM6	protein_coding	2.803130089	3.975114589	1.354199482	1.958691724
ENSG00000004660.15	CAMKK1	protein_coding	3.145824069	1.774296527	1.551417421	0.961690495
ENSG00000004700.16	RECQL	protein_coding	7.734490046	6.281826661	6.974897781	6.935759011
ENSG00000004766.17	VPS50	protein_coding	2.446166995	1.379678427	0.861692473	2.991210564
ENSG00000004776.13	HSPB6	protein_coding	0	0	0	2.764209376
ENSG00000004777.18	ARHGAP33	protein_coding	0.555677526	2.005832104	1.252763247	2.717964048
ENSG00000004779.10	NDUFAB1	protein_coding	43.42756274	52.82154116	43.63225481	27.7063777
ENSG00000004799.8	PDK4	protein_coding	37.95091626	29.02364895	51.48073967	51.3885016
ENSG00000004809.14	SLC22A16	protein_coding	0	0	0	0
ENSG00000004838.14	ZMYND10	protein_coding	0	0	0	0
ENSG00000004846.17	ABCB5	protein_coding	0	0	0.561863462	0.270890005
ENSG00000004848.8	ARX	protein_coding	0.938620356	0	0	0.765172923
ENSG00000004864.14	SLC25A13	protein_coding	33.08902402	21.32886159	29.75059457	18.62525768
ENSG00000004866.22	ST7	protein_coding	5.374557992	6.871035349	9.08762061	6.206975819
ENSG00000004897.12	CDC27	protein_coding	30.83912555	18.9398874	19.31282145	22.69616813
ENSG00000004939.16	SLC4A1	protein_coding	0	0	0	0
ENSG00000004948.16	CALCR	protein_coding	0	0	0	0
ENSG00000004961.15	HCCS	protein_coding	14.96985295	18.01225244	24.60880428	25.42411953
ENSG00000004975.12	DVL2	protein_coding	12.08475913	11.40131404	10.83601361	9.851619359
ENSG00000005001.10	PRSS22	protein_coding	0	0	0	0
ENSG00000005007.13	UPF1	protein_coding	9.546271558	5.538090039	8.455019417	4.446981887
ENSG00000005020.13	SKAP2	protein_coding	21.80834761	7.380160092	10.44787255	10.66703294
ENSG00000005022.6	SLC25A5	protein_coding	342.0972408	417.2775738	240.4862334	304.9305132
ENSG00000005059.16	MCUB	protein_coding	8.221839067	5.935683188	3.707192505	7.372780114
ENSG00000005073.6	HOXA11	protein_coding	0	0	0	0.892749525
ENSG00000005075.15	POLR2J	protein_coding	45.29899598	31.14590957	25.53140742	29.8942614
ENSG00000005100.13	DHX33	protein_coding	22.72048203	21.4148304	9.390855259	13.58277767
ENSG00000005102.14	MEOX1	protein_coding	0	0	0	0
ENSG00000005108.16	THSD7A	protein_coding	13.1142135	4.830453652	12.06763974	7.199954209
ENSG00000005156.12	LIG3	protein_coding	5.437464609	5.929184349	5.746241774	4.247981946
ENSG00000005175.10	RPAP3	protein_coding	7.102285841	6.409289686	3.387143993	6.680603221
ENSG00000005187.12	ACSM3	protein_coding	1.945981217	1.756104672	1.316152066	2.538214096
ENSG00000005189.20	REXO5	protein_coding	1.421972166	0.641612556	3.606531994	0.579603134
ENSG00000005194.15	CIAPIN1	protein_coding	23.32761522	14.81398614	14.60878217	9.860620381
ENSG00000005206.17	SPPL2B	protein_coding	2.36382029	2.133173649	2.442542171	1.605842083
ENSG00000005238.20	FAM214B	protein_coding	4.126395936	0.827504068	1.550478748	3.36388021
ENSG00000005243.10	COPZ2	protein_coding	1.566379308	1.413541917	2.6485268	3.830785341
ENSG00000005249.13	PRKAR2B	protein_coding	1.37159258	1.237761247	0.386528313	0.559068156
ENSG00000005302.19	MSL3	protein_coding	2.98861328	3.775804605	1.010664828	0.974539257
ENSG00000005339.15	CREBBP	protein_coding	5.098347586	10.7353938	8.301306688	7.080976173
ENSG00000005379.17	TSPOAP1	protein_coding	0	0	0	0
ENSG00000005381.8	MPO	protein_coding	0	0	0	0
ENSG00000005421.9	PON1	protein_coding	1.100061644	0	0	0
ENSG00000005436.14	GCFC2	protein_coding	5.351270209	5.794952508	2.111256991	4.362410257
ENSG00000005448.17	WDR54	protein_coding	39.96903497	27.74546862	20.21684026	12.53198711
ENSG00000005469.12	CROT	protein_coding	4.096105409	2.640309526	4.617291566	2.385133616
ENSG00000005471.19	ABCB4	protein_coding	0	0	0	0
ENSG00000005483.21	KMT2E	protein_coding	6.169478295	5.037261546	5.133068023	6.945392098
ENSG00000005486.17	RHBDD2	protein_coding	89.27575587	82.77204655	81.33526067	71.78154423
ENSG00000005513.10	SOX8	protein_coding	1.307769033	0	0.368542208	1.599160055
ENSG00000005700.15	IBTK	protein_coding	18.77283773	24.20157556	9.447090661	15.85037412
ENSG00000005801.18	ZNF195	protein_coding	2.994993208	2.027070528	2.250716311	2.238086697
ENSG00000005810.19	MYCBP2	protein_coding	1.447758618	1.741993979	1.54130558	1.311364052
ENSG00000005812.11	FBXL3	protein_coding	5.369874116	5.591441245	3.026566945	5.051049637
ENSG00000005844.19	ITGAL	protein_coding	0	0	0	0.241560065
ENSG00000005882.12	PDK2	protein_coding	4.808220452	8.678129392	3.914455804	1.742093571
ENSG00000005884.18	ITGA3	protein_coding	90.64992773	79.65212081	75.79779994	35.00467062
ENSG00000005889.16	ZFX	protein_coding	9.056123279	7.004986301	11.66676495	12.39229597
ENSG00000005893.16	LAMP2	protein_coding	55.63511464	33.0970829	44.14511747	29.13824707
ENSG00000005961.19	ITGA2B	protein_coding	0	0	0	0
ENSG00000005981.13	ASB4	protein_coding	1.269154923	1.717978213	1.788301856	0
ENSG00000006007.12	GDE1	protein_coding	56.59303462	51.07104406	35.27427447	22.25345963
ENSG00000006015.18	REX1BD	protein_coding	3.468245373	16.43163855	4.398235843	6.36153555
ENSG00000006016.12	CRLF1	protein_coding	0.985124297	0.889002095	0	0
ENSG00000006025.12	OSBPL7	protein_coding	0.444744946	2.00674773	1.002668089	0.725121267
ENSG00000006042.12	TMEM98	protein_coding	0	0	0.317598548	0
ENSG00000006047.13	YBX2	protein_coding	0	0	0	0
ENSG00000006059.4	KRT33A	protein_coding	0	0	0	0
ENSG00000006062.18	MAP3K14	protein_coding	19.59576993	24.19880015	24.99558849	15.13390003
ENSG00000006071.16	ABCC8	protein_coding	0.107245314	0	0	0
ENSG00000006116.4	CACNG3	protein_coding	0	0	0	0
ENSG00000006118.15	TMEM132A	protein_coding	29.73493543	30.09713294	30.12125764	19.3266649
ENSG00000006125.18	AP2B1	protein_coding	95.10569829	115.013636	78.5605175	91.97013638
ENSG00000006128.12	TAC1	protein_coding	0	0	0	0
ENSG00000006194.10	ZNF263	protein_coding	11.41208726	12.35828151	5.660228132	4.093430158
ENSG00000006210.7	CX3CL1	protein_coding	0	0	0	0
ENSG00000006282.21	SPATA20	protein_coding	9.857887987	17.79203519	7.099461195	9.822084806
ENSG00000006283.18	CACNA1G	protein_coding	1.742912217	6.291399444	3.601912217	1.420839882
ENSG00000006327.14	TNFRSF12A	protein_coding	454.4152475	395.4306988	221.3586052	169.3458111
ENSG00000006377.11	DLX6	protein_coding	0	0.765651442	0	0
ENSG00000006432.16	MAP3K9	protein_coding	3.539718781	8.944139117	2.660073744	3.07798932
ENSG00000006451.8	RALA	protein_coding	24.50011558	30.21638387	14.7293315	24.6330522
ENSG00000006453.14	BAIAP2L1	protein_coding	20.61343472	15.31938147	14.01010796	9.884872359
ENSG00000006459.11	KDM7A	protein_coding	0.311672402	0.562522759	0.87832356	0
ENSG00000006468.14	ETV1	protein_coding	1.215959974	1.64597143	1.199343285	0.247815755
ENSG00000006530.18	AGK	protein_coding	6.011311895	5.671346357	4.620128081	2.004743044
ENSG00000006534.16	ALDH3B1	protein_coding	44.99428107	65.28490063	47.48721414	41.35467483
ENSG00000006555.11	TTC22	protein_coding	0	0	0	0
ENSG00000006576.16	PHTF2	protein_coding	15.21268453	9.152217962	9.717391528	7.992101085
ENSG00000006606.9	CCL26	protein_coding	8.315401958	15.0080752	7.030086783	10.1682012
ENSG00000006607.14	FARP2	protein_coding	2.440634991	3.120198781	2.407282518	3.481853603
ENSG00000006611.17	USH1C	protein_coding	1.19203254	2.151443081	0.671853046	1.457635695
ENSG00000006625.18	GGCT	protein_coding	11.00199669	21.51173138	22.73678841	31.39129117
ENSG00000006634.8	DBF4	protein_coding	3.180482903	8.610454462	6.094781802	7.778286666
ENSG00000006638.13	TBXA2R	protein_coding	2.067820154	1.866055336	0	0
ENSG00000006652.15	IFRD1	protein_coding	4.438669382	0.667595347	1.459337596	1.507686967
ENSG00000006659.13	LGALS14	protein_coding	0	0	0	0
ENSG00000006695.12	COX10	protein_coding	6.922116728	14.05507576	7.559042889	8.111784353
ENSG00000006704.11	GTF2IRD1	protein_coding	11.69325412	6.899580964	3.802239582	4.399597136
ENSG00000006712.15	PAF1	protein_coding	29.741421	40.72191071	31.21358532	31.76997976
ENSG00000006715.16	VPS41	protein_coding	9.426160308	9.8674416	6.162813005	5.840069809
ENSG00000006740.17	ARHGAP44	protein_coding	0.31354471	0	0.353439963	0.511209715
ENSG00000006744.19	ELAC2	protein_coding	25.4633949	18.08170843	15.05749141	9.868566978
ENSG00000006747.15	SCIN	protein_coding	0	0	0	0.204949981
ENSG00000006756.16	ARSD	protein_coding	3.328054413	2.627908414	3.282574918	1.695665017
ENSG00000006757.12	PNPLA4	protein_coding	5.141361105	1.54656653	4.346658759	4.191290206
ENSG00000006788.14	MYH13	protein_coding	0	0	0	0
ENSG00000006831.10	ADIPOR2	protein_coding	51.12881262	49.30645595	40.11807256	42.08936609
ENSG00000006837.12	CDKL3	protein_coding	0	0	0	0
ENSG00000007001.13	UPP2	protein_coding	0	0	0	0
ENSG00000007038.11	PRSS21	protein_coding	0	0	0	0
ENSG00000007047.15	MARK4	protein_coding	1.317396539	9.114542065	2.227532005	2.505895339
ENSG00000007062.12	PROM1	protein_coding	0.391962423	0	0	0.63906356
ENSG00000007080.11	CCDC124	protein_coding	47.51193394	60.34402784	35.70488387	34.4286355
ENSG00000007129.18	CEACAM21	protein_coding	0	0	0	0
ENSG00000007168.14	PAFAH1B1	protein_coding	21.01252742	17.42995416	13.75710711	12.80396396
ENSG00000007171.18	NOS2	protein_coding	0	0.599606551	0	0
ENSG00000007174.18	DNAH9	protein_coding	0	0	0	0
ENSG00000007202.15	KIAA0100	protein_coding	74.7179218	48.28488926	43.00470801	25.80966727
ENSG00000007216.15	SLC13A2	protein_coding	0	0	0	0
ENSG00000007237.19	GAS7	protein_coding	0	0	0.486527959	0.234568663
ENSG00000007255.10	TRAPPC6A	protein_coding	18.79655169	28.27083834	22.95389893	12.76928447
ENSG00000007264.15	MATK	protein_coding	0	0.637426104	0	0.575821286
ENSG00000007306.15	CEACAM7	protein_coding	0	0	0.620951251	0
ENSG00000007312.13	CD79B	protein_coding	0	0	0	0
ENSG00000007314.12	SCN4A	protein_coding	0	0	0	0.289063264
ENSG00000007341.19	ST7L	protein_coding	1.802456702	2.927851869	1.422260198	2.057133618
ENSG00000007350.17	TKTL1	protein_coding	0	0	0	0
ENSG00000007372.24	PAX6	protein_coding	0	0	0.079818967	0.115448834
ENSG00000007376.8	RPUSD1	protein_coding	32.72256318	15.24113668	13.08863876	11.18661259
ENSG00000007384.15	RHBDF1	protein_coding	5.948033757	3.220597334	4.358157856	2.424449005
ENSG00000007392.17	LUC7L	protein_coding	4.259354614	4.270837462	3.467614589	2.314846323
ENSG00000007402.12	CACNA2D2	protein_coding	0	0.405296438	0.506264189	1.098378219
ENSG00000007516.14	BAIAP3	protein_coding	0	2.158838776	0	0
ENSG00000007520.4	TSR3	protein_coding	86.96123667	58.8570817	44.92864553	43.32269968
ENSG00000007541.17	PIGQ	protein_coding	7.069044294	4.36477849	3.145462709	2.426424116
ENSG00000007545.16	CRAMP1	protein_coding	2.720208272	0.613696886	1.149872268	0.831578112
ENSG00000007866.22	TEAD3	protein_coding	0.958630301	0.865093216	1.080605884	1.56297047
ENSG00000007908.16	SELE	protein_coding	0	0	0	0
ENSG00000007923.16	DNAJC11	protein_coding	7.475354957	10.3783955	9.07470839	6.093985888
ENSG00000007933.13	FMO3	protein_coding	0	0	0	0
ENSG00000007944.15	MYLIP	protein_coding	3.805812224	3.434465126	10.7251541	3.878171358
ENSG00000007952.18	NOX1	protein_coding	0	0	0	0
ENSG00000007968.7	E2F2	protein_coding	4.281016167	5.794952508	2.111256991	5.671133334
ENSG00000008018.9	PSMB1	protein_coding	59.27393892	60.62241102	35.63515824	48.32072181
ENSG00000008056.14	SYN1	protein_coding	0	0	0	0
ENSG00000008083.14	JARID2	protein_coding	6.553506252	7.60378698	5.276693368	2.289636594
ENSG00000008086.13	CDKL5	protein_coding	3.68118865	3.875668454	2.593488145	2.125667727
ENSG00000008118.10	CAMK1G	protein_coding	0	0	0	0
ENSG00000008128.23	CDK11A	protein_coding	0	0	0.323969257	0
ENSG00000008130.15	NADK	protein_coding	6.297013547	14.20647693	4.14064118	3.422259938
ENSG00000008196.13	TFAP2B	protein_coding	0	0	0	0
ENSG00000008197.5	TFAP2D	protein_coding	0	0	0	0
ENSG00000008226.20	DLEC1	protein_coding	0	0	0	0
ENSG00000008256.16	CYTH3	protein_coding	9.058462154	7.266306382	6.240089657	4.923034054
ENSG00000008277.15	ADAM22	protein_coding	2.138472189	0.771925437	0.241057019	0.174330442
ENSG00000008282.9	SYPL1	protein_coding	111.327187	80.56122293	95.30318749	78.76854487
ENSG00000008283.16	CYB561	protein_coding	27.59501311	9.960986468	18.3526504	18.44650449
ENSG00000008294.21	SPAG9	protein_coding	22.960822	16.97313469	15.83228497	16.52750493
ENSG00000008300.17	CELSR3	protein_coding	2.321408063	3.618463185	5.471454787	1.548356414
ENSG00000008311.16	AASS	protein_coding	0	0	0.152309881	0
ENSG00000008323.16	PLEKHG6	protein_coding	4.06329535	3.666824676	4.961999005	1.656219983
ENSG00000008324.12	SS18L2	protein_coding	13.12382714	4.229745376	2.64173135	3.820956514
ENSG00000008382.16	MPND	protein_coding	2.852966118	2.57459172	2.411981947	2.325767186
ENSG00000008394.13	MGST1	protein_coding	141.8026915	91.80974696	140.8058075	79.7344943
ENSG00000008405.12	CRY1	protein_coding	6.723442424	4.412662847	6.545439089	8.470665871
ENSG00000008438.5	PGLYRP1	protein_coding	0	0	0	0
ENSG00000008441.18	NFIX	protein_coding	1.362640461	4.098942062	2.048029426	6.665030719
ENSG00000008513.16	ST3GAL1	protein_coding	12.54731405	9.833154559	4.466471766	7.267759717
ENSG00000008516.18	MMP25	protein_coding	1.231976307	0	0	0
ENSG00000008517.19	IL32	protein_coding	0	3.287839472	2.566817809	0.742520562
ENSG00000008710.20	PKD1	protein_coding	0.63081122	1.565466785	0.799959697	0.514243764
ENSG00000008735.14	MAPK8IP2	protein_coding	1.009101947	0	0.284374878	0
ENSG00000008838.20	MED24	protein_coding	21.83121474	23.86859533	12.54112819	9.240765444
ENSG00000008853.17	RHOBTB2	protein_coding	7.516061776	10.37352891	6.229706813	3.243796149
ENSG00000008869.12	HEATR5B	protein_coding	4.257631155	1.921099211	3.799501059	2.024670961
ENSG00000008952.17	SEC62	protein_coding	28.01938041	19.29677278	33.45468855	30.05484967
ENSG00000008988.11	RPS20	protein_coding	76.9060982	49.90711896	48.94665448	49.66260695
ENSG00000009307.16	CSDE1	protein_coding	81.94945201	96.32194613	34.78380195	56.08407642
ENSG00000009335.18	UBE3C	protein_coding	29.4982455	27.19246615	15.910705	19.39296106
ENSG00000009413.16	REV3L	protein_coding	5.645773112	1.698298087	1.060689687	2.109475517
ENSG00000009694.13	TENM1	protein_coding	0	0	0	0.184766477
ENSG00000009709.12	PAX7	protein_coding	0	0	0.254500799	0.368105744
ENSG00000009724.17	MASP2	protein_coding	0	0	0	0
ENSG00000009765.15	IYD	protein_coding	0	0	0	0
ENSG00000009780.16	FAM76A	protein_coding	5.779266017	0.651920222	2.035817684	4.122402218
ENSG00000009790.15	TRAF3IP3	protein_coding	0	0	0	0
ENSG00000009830.13	POMT2	protein_coding	9.076529222	3.995560428	6.238671777	3.248464188
ENSG00000009844.16	VTA1	protein_coding	7.248766628	17.08052538	5.674371967	7.550732308
ENSG00000009950.16	MLXIPL	protein_coding	2.428131911	0.547802537	0	0
ENSG00000009954.11	BAZ1B	protein_coding	17.80214489	22.04284473	9.100278061	9.44999398
ENSG00000010017.13	RANBP9	protein_coding	10.50227453	8.019447591	4.553299252	7.24439837
ENSG00000010030.14	ETV7	protein_coding	0	0	0	0
ENSG00000010072.16	SPRTN	protein_coding	4.948973566	5.359300813	4.184008643	2.82411774
ENSG00000010165.20	EEF1AKNMT	protein_coding	23.65146892	19.27818796	21.07068645	16.17109385
ENSG00000010219.13	DYRK4	protein_coding	1.657422052	1.495701285	3.269545134	2.364507992
ENSG00000010244.19	ZNF207	protein_coding	19.58677213	16.17485864	15.41362897	15.36479613
ENSG00000010256.11	UQCRC1	protein_coding	49.26174924	57.62698039	26.22239923	34.95292717
ENSG00000010270.14	STARD3NL	protein_coding	35.15007331	19.52021622	20.95423261	14.87840172
ENSG00000010278.15	CD9	protein_coding	31.59039606	32.12806903	21.76163022	20.02996665
ENSG00000010282.15	HHATL	protein_coding	0	0	0	0
ENSG00000010292.13	NCAPD2	protein_coding	31.17119032	30.57576372	28.77192499	21.36003276
ENSG00000010295.20	IFFO1	protein_coding	0	0	0.333141288	0
ENSG00000010310.9	GIPR	protein_coding	0	0	0	0
ENSG00000010318.21	PHF7	protein_coding	1.737731146	0	0	0.70830811
ENSG00000010319.7	SEMA3G	protein_coding	0	0.522621204	0.326408494	0
ENSG00000010322.16	NISCH	protein_coding	1.612703481	1.45534607	1.999693265	2.103507819
ENSG00000010327.10	STAB1	protein_coding	0	0	0	0
ENSG00000010361.14	FUZ	protein_coding	4.948973566	16.07790244	5.020810371	9.682689396
ENSG00000010379.16	SLC6A13	protein_coding	0	0	0	0
ENSG00000010404.18	IDS	protein_coding	8.49121178	10.21692402	2.836038166	5.383873265
ENSG00000010438.17	PRSS3	protein_coding	6.153397449	3.701991883	4.624234862	0
ENSG00000010539.12	ZNF200	protein_coding	4.288010359	0.703566075	1.977387707	0.95335362
ENSG00000010610.10	CD4	protein_coding	0	0	0	0
ENSG00000010626.15	LRRC23	protein_coding	8.619192036	5.185457176	1.079543689	1.56143413
ENSG00000010671.16	BTK	protein_coding	0	0	0	0
ENSG00000010704.19	HFE	protein_coding	12.87605193	6.971812908	16.25612079	7.557616331
ENSG00000010803.16	SCMH1	protein_coding	9.858996362	6.524479736	7.038518039	4.822292858
ENSG00000010810.17	FYN	protein_coding	0	0.355912727	0.222288985	0.32151511
ENSG00000010818.10	HIVEP2	protein_coding	4.11477774	3.218179241	5.10217373	2.012645363
ENSG00000010932.17	FMO1	protein_coding	0	0	0	0
ENSG00000011007.12	ELOA	protein_coding	9.216969839	10.27472705	9.778571216	5.303836354
ENSG00000011009.11	LYPLA2	protein_coding	27.47867985	20.88209177	22.00858935	14.14793755
ENSG00000011021.23	CLCN6	protein_coding	2.503370429	2.904566616	6.248488163	3.206929317
ENSG00000011028.14	MRC2	protein_coding	17.73851487	21.61039868	22.49499776	10.12243324
ENSG00000011052.21	NME1-NME2	protein_coding	0	0	0	0
ENSG00000011083.9	SLC6A7	protein_coding	0	0	0	0
ENSG00000011105.14	TSPAN9	protein_coding	4.232967108	4.20193503	4.055832351	5.866288805
ENSG00000011114.15	BTBD7	protein_coding	4.384424636	5.353074383	5.814466318	3.784476545
ENSG00000011132.12	APBA3	protein_coding	7.312382601	2.828094228	3.827017102	1.277384819
ENSG00000011143.19	MKS1	protein_coding	1.295021616	2.337323187	1.021859609	0.422285952
ENSG00000011198.10	ABHD5	protein_coding	5.815487044	3.498699054	2.840693421	1.264225219
ENSG00000011201.12	ANOS1	protein_coding	0	0	0	0
ENSG00000011243.19	AKAP8L	protein_coding	2.385733036	1.537820206	2.497200059	0.833517426
ENSG00000011258.16	MBTD1	protein_coding	4.882289179	3.671588553	3.210380202	3.648417776
ENSG00000011260.14	UTP18	protein_coding	46.49764813	32.20239887	34.13003533	29.97167902
ENSG00000011275.19	RNF216	protein_coding	8.10191916	14.62277021	3.696610663	5.97574197
ENSG00000011295.16	TTC19	protein_coding	17.8635547	14.81347099	18.50381393	17.7112127
ENSG00000011304.22	PTBP1	protein_coding	81.22304637	84.52044691	63.74001434	49.73959735
ENSG00000011332.21	DPF1	protein_coding	1.217859912	4.945629781	0	0
ENSG00000011347.10	SYT7	protein_coding	0	0	0.218138727	0
ENSG00000011376.12	LARS2	protein_coding	2.355818319	2.338547706	0.929449963	1.536389768
ENSG00000011405.13	PIK3C2A	protein_coding	7.939112854	9.743671596	9.30725237	8.284218973
ENSG00000011422.12	PLAUR	protein_coding	28.85483659	26.03936404	17.37200639	12.83059537
ENSG00000011426.11	ANLN	protein_coding	24.36938293	15.83393227	17.85558421	15.09828953
ENSG00000011451.21	WIZ	protein_coding	6.115387023	12.08855076	7.385898688	6.172308512
ENSG00000011454.18	RABGAP1	protein_coding	10.30790521	11.02474072	7.315967185	7.780657269
ENSG00000011465.18	DCN	protein_coding	0	0	0	0.184123984
ENSG00000011478.13	QPCTL	protein_coding	13.45034664	18.67376437	21.57635249	11.80831106
ENSG00000011485.15	PPP5C	protein_coding	11.95698263	12.27861252	9.527822041	12.10028853
ENSG00000011523.14	CEP68	protein_coding	4.745459009	7.035415979	3.056724888	0.552649538
ENSG00000011566.15	MAP4K3	protein_coding	13.51390127	9.582021593	8.43277638	7.475597946
ENSG00000011590.14	ZBTB32	protein_coding	0	0	1.20290885	0
ENSG00000011600.12	TYROBP	protein_coding	0	0	0	0
ENSG00000011638.11	TMEM159	protein_coding	20.56745433	17.52946704	16.10030951	13.97233277
ENSG00000011677.13	GABRA3	protein_coding	0	0	0	0
ENSG00000012048.23	BRCA1	protein_coding	7.223927265	10.48718687	6.018809882	6.401108108
ENSG00000012061.16	ERCC1	protein_coding	20.97122001	26.4949733	16.25221557	14.95895908
ENSG00000012124.17	CD22	protein_coding	0.474106048	0	0.267215518	0.772992208
ENSG00000012171.20	SEMA3B	protein_coding	1.013475655	0.457293554	3.427289188	1.239293593
ENSG00000012174.12	MBTPS2	protein_coding	14.70417781	10.61554967	18.04847396	8.257708546
ENSG00000012211.13	PRICKLE3	protein_coding	9.593644819	1.442926267	2.252986419	3.258682279
ENSG00000012223.13	LTF	protein_coding	0	0	0	0
ENSG00000012232.9	EXTL3	protein_coding	9.857887987	6.874195414	6.692575079	3.470199384
ENSG00000012504.15	NR1H4	protein_coding	0	1.454062413	1.816299525	3.283831977
ENSG00000012660.14	ELOVL5	protein_coding	81.25454014	89.92840235	103.2585096	58.74071789
ENSG00000012779.11	ALOX5	protein_coding	0	0	0.44165782	0
ENSG00000012817.16	KDM5D	protein_coding	0	0	0	0
ENSG00000012822.16	CALCOCO1	protein_coding	3.284854786	2.371471537	1.851408934	1.338923625
ENSG00000012963.15	UBR7	protein_coding	17.49220278	6.765181804	4.22526447	9.506548518
ENSG00000012983.12	MAP4K5	protein_coding	5.39842916	7.655504323	4.563991697	6.601282075
ENSG00000013016.16	EHD3	protein_coding	0.605774878	9.293342318	2.731413338	0.987667765
ENSG00000013275.8	PSMC4	protein_coding	185.6878171	123.0912301	90.44459362	113.9981627
ENSG00000013288.9	MAN2B2	protein_coding	10.52810009	11.28224113	4.450383619	4.559514205
ENSG00000013293.6	SLC7A14	protein_coding	0	0	0	0
